"","x"
"1",0.332693679124899
"2",0.931699994793796
"3",0.220383835503493
"4",0.960094018352761
"5",0.220383835503493
"6",0.931699994793796
"7",0.931699994793796
"8",0.935679909505113
"9",0.931699994792185
"10",0.931699994793796
"11",0.345356228249313
"12",0.960094018352761
"13",0.220383835503493
"14",0.931699994793796
"15",0.962203781343926
"16",0.220383835503493
"17",0.931699994793796
"18",0.931699994793796
"19",0.931693620949238
"20",0.220383835503493
"21",0.960094018352761
"22",0.931699994793796
"23",0.195807806840011
"24",0.931699994793796
"25",0.332693679124899
"26",0.332693679124899
"27",0.931699994793796
"28",0.931699994793796
"29",0.931699994793796
"30",0.220383835503493
"31",0.931699994793796
"32",0.220383835503493
"33",0.960094018352761
"34",0.935679909505113
"35",0.332693679124899
"36",0.921566753083224
"37",0.960094018352761
"38",0.220383835503493
"39",0.220383835503493
"40",0.962203781343926
"41",0.931699994793796
"42",0.931699994793721
"43",0.962203781343926
"44",0.220383835503493
"45",0.921566753087104
"46",0.220383835503493
"47",0.875773576319594
"48",0.931699994793796
"49",0.931699981914786
"50",0.332693679124899
"51",0.345356228249313
"52",0.931699994793796
"53",0.332693679124899
"54",0.931699994793796
"55",0.960094018352761
"56",0.345356228249313
"57",0.931699278104965
"58",0.931699994793796
"59",0.220383835503493
"60",0.931699994793796
"61",0.345356228249313
"62",0.962203781343926
"63",0.962203781343926
"64",0.931699994793664
"65",0.96009018077105
"66",0.220383835503493
"67",0.960094018352761
"68",0.960094018352761
"69",0.962203781343926
"70",0.931699994793796
"71",0.931699994793796
"72",0.960094018352761
"73",0.960094018352761
"74",0.127468407857601
"75",0.220383835503493
"76",0.962203781343926
"77",0.960094018352761
"78",0.220383835503493
"79",0.332693679124899
"80",0.960094018352761
"81",0.931699994793796
"82",0.931699994793796
"83",0.345356228249313
"84",0.962203781343926
"85",0.220383835503493
"86",0.332693679124899
"87",0.345356228249313
"88",0.127468407857601
"89",0.931699994793796
"90",0.962203781343851
"91",0.332693679124899
"92",0.960094018352752
"93",0.931699994793796
"94",0.921566753087018
"95",0.962203781343923
"96",0.962203781343926
"97",0.345356228249313
"98",0.931699994793796
"99",0.345356228249313
"100",0.962203781343926
"101",0.220383835503493
"102",0.931699994793796
"103",0.931699994793796
"104",0.962203781343926
"105",0.962203781343926
"106",0.921566753087104
"107",0.220383835503493
"108",0.931699994793796
"109",0.127468407857601
"110",0.220383835503493
"111",0.127468407857601
"112",0.96009401835276
"113",0.332693679124899
"114",0.962203781343926
"115",0.220383835503493
"116",0.962203781343926
"117",0.960094018352761
"118",0.195807806840011
"119",0.931699994793796
"120",0.931699994793796
"121",0.962203781343926
"122",0.931699994793796
"123",0.931699994793796
"124",0.962203781343926
"125",0.962203781343926
"126",0.931699994793796
"127",0.220383835503493
"128",0.931699994793796
"129",0.921566753087104
"130",0.220383835503493
"131",0.931699994793796
"132",0.220383835503493
"133",0.960094018352761
"134",0.231629916572719
"135",0.220383835503493
"136",0.935679909505113
"137",0.931699994793796
"138",0.231629916572719
"139",0.92156673845817
"140",0.931699994793796
"141",0.921566753087104
"142",0.220383835503493
"143",0.962203781343851
"144",0.931699994793796
"145",0.931699994793796
"146",0.931699994793796
"147",0.931699994793796
"148",0.931699994793796
"149",0.931699994793796
"150",0.931699994793796
"151",0.345356228249313
"152",0.332693679124899
"153",0.931699994793796
"154",0.960094018352761
"155",0.195807806840011
"156",0.960094018352761
"157",0.931699994793796
"158",0.960094018352761
"159",0.960094018352761
