household_key,probability
1,0.332693679
2,0.931699995
3,0.220383836
4,0.960094018
5,0.220383836
6,0.931699995
7,0.931699995
8,0.93567991
9,0.931699995
10,0.931699995
12,0.345356228
13,0.960094018
14,0.220383836
15,0.931699995
16,0.962203781
17,0.220383836
18,0.931699995
19,0.931699995
20,0.931693621
21,0.220383836
22,0.960094018
23,0.931699995
24,0.195807807
25,0.931699995
26,0.332693679
27,0.332693679
28,0.931699995
29,0.931699995
30,0.931699995
31,0.220383836
32,0.931699995
33,0.220383836
34,0.960094018
35,0.93567991
36,0.332693679
37,0.921566753
38,0.960094018
39,0.220383836
40,0.220383836
41,0.962203781
42,0.931699995
43,0.931699995
44,0.962203781
45,0.220383836
46,0.921566753
47,0.220383836
48,0.875773576
49,0.931699995
50,0.931699982
51,0.332693679
52,0.345356228
53,0.931699995
55,0.332693679
56,0.931699995
57,0.960094018
58,0.345356228
59,0.931699278
60,0.931699995
61,0.220383836
62,0.931699995
63,0.345356228
64,0.962203781
65,0.962203781
66,0.931699995
67,0.960090181
68,0.220383836
69,0.960094018
71,0.960094018
72,0.962203781
73,0.931699995
74,0.931699995
75,0.960094018
76,0.960094018
77,0.127468408
78,0.220383836
79,0.962203781
80,0.960094018
81,0.220383836
82,0.332693679
83,0.960094018
84,0.931699995
85,0.931699995
86,0.345356228
87,0.962203781
88,0.220383836
90,0.332693679
91,0.345356228
92,0.127468408
93,0.931699995
94,0.962203781
95,0.332693679
97,0.960094018
98,0.931699995
99,0.921566753
100,0.962203781
101,0.962203781
103,0.345356228
104,0.931699995
105,0.345356228
106,0.962203781
107,0.220383836
108,0.931699995
109,0.931699995
110,0.962203781
111,0.962203781
112,0.921566753
113,0.220383836
114,0.931699995
115,0.127468408
116,0.220383836
117,0.127468408
118,0.960094018
119,0.332693679
120,0.962203781
121,0.220383836
122,0.962203781
123,0.960094018
124,0.195807807
125,0.931699995
126,0.931699995
127,0.962203781
128,0.931699995
129,0.931699995
131,0.962203781
132,0.962203781
133,0.931699995
134,0.220383836
135,0.931699995
136,0.921566753
137,0.220383836
138,0.931699995
139,0.220383836
140,0.960094018
141,0.231629917
142,0.220383836
143,0.93567991
144,0.931699995
145,0.231629917
146,0.921566738
147,0.931699995
148,0.921566753
149,0.220383836
150,0.962203781
151,0.931699995
152,0.931699995
153,0.931699995
154,0.931699995
155,0.931699995
156,0.931699995
157,0.931699995
158,0.345356228
159,0.332693679
160,0.931699995
161,0.960094018
162,0.195807807
163,0.960094018
164,0.931699995
165,0.960094018
166,0.960094018
167,0.962203781
168,0.231629917
169,0.962203781
170,0.931699995
171,0.962203781
172,0.345356228
174,0.960094018
175,0.931699995
