household_key,probability
1,0.234931649
2,0.914571763
3,0.148290221
4,0.949702013
5,0.148290221
6,0.914571763
7,0.914571763
8,0.919463484
9,0.914571763
10,0.914571763
12,0.245240767
13,0.949702013
14,0.148290221
15,0.914571763
16,0.952333907
17,0.148290221
18,0.914571763
19,0.914571763
20,0.914563937
21,0.148290221
22,0.949702013
23,0.914571763
24,0.130408896
25,0.914571763
26,0.234931649
27,0.234931649
28,0.914571763
29,0.914571763
30,0.914571763
31,0.148290221
32,0.914571763
33,0.148290221
34,0.949702013
35,0.919463484
36,0.234931649
37,0.90216416
38,0.949702013
39,0.148290221
40,0.148290221
41,0.952333907
42,0.914571763
43,0.914571763
44,0.952333907
45,0.148290221
46,0.90216416
47,0.148290221
48,0.846924451
49,0.914571763
50,0.914571747
51,0.234931649
52,0.245240767
53,0.914571763
55,0.234931649
56,0.914571763
57,0.949702013
58,0.245240767
59,0.914570883
60,0.914571763
61,0.148290221
62,0.914571763
63,0.245240767
64,0.952333907
65,0.952333907
66,0.914571763
67,0.949697228
68,0.148290221
69,0.949702013
71,0.949702013
72,0.952333907
73,0.914571763
74,0.914571763
75,0.949702013
76,0.949702013
77,0.082551518
78,0.148290221
79,0.952333907
80,0.949702013
81,0.148290221
82,0.234931649
83,0.949702013
84,0.914571763
85,0.914571763
86,0.245240767
87,0.952333907
88,0.148290221
90,0.234931649
91,0.245240767
92,0.082551518
93,0.914571763
94,0.952333907
95,0.234931649
97,0.949702013
98,0.914571763
99,0.90216416
100,0.952333907
101,0.952333907
103,0.245240767
104,0.914571763
105,0.245240767
106,0.952333907
107,0.148290221
108,0.914571763
109,0.914571763
110,0.952333907
111,0.952333907
112,0.90216416
113,0.148290221
114,0.914571763
115,0.082551518
116,0.148290221
117,0.082551518
118,0.949702013
119,0.234931649
120,0.952333907
121,0.148290221
122,0.952333907
123,0.949702013
124,0.130408896
125,0.914571763
126,0.914571763
127,0.952333907
128,0.914571763
129,0.914571763
131,0.952333907
132,0.952333907
133,0.914571763
134,0.148290221
135,0.914571763
136,0.90216416
137,0.148290221
138,0.914571763
139,0.148290221
140,0.949702013
141,0.156596357
142,0.148290221
143,0.919463484
144,0.914571763
145,0.156596357
146,0.902164142
147,0.914571763
148,0.90216416
149,0.148290221
150,0.952333907
151,0.914571763
152,0.914571763
153,0.914571763
154,0.914571763
155,0.914571763
156,0.914571763
157,0.914571763
158,0.245240767
159,0.234931649
160,0.914571763
161,0.949702013
162,0.130408896
163,0.949702013
164,0.914571763
165,0.949702013
166,0.949702013
167,0.952333907
168,0.156596357
169,0.952333907
170,0.914571763
171,0.952333907
172,0.245240767
174,0.949702013
175,0.914571763
176,0.949702013
177,0.148290221
178,0.148290221
179,0.148290221
180,0.234931649
181,0.949702013
182,0.914571763
183,0.148290221
184,0.949702013
185,0.914571763
187,0.234931649
188,0.914571763
189,0.914571763
190,0.245240767
191,0.234931649
192,0.952333907
193,0.914571763
194,0.234931649
195,0.846924451
196,0.148290221
197,0.148290221
198,0.914571763
199,0.082551518
200,0.914571763
201,0.914571763
202,0.148290221
203,0.914571763
204,0.919463484
205,0.949702013
206,0.234931649
207,0.952333907
208,0.914571763
209,0.148290221
210,0.90216416
211,0.914571763
212,0.914571763
213,0.90216416
214,0.234931649
215,0.914571763
216,0.949702013
217,0.082551518
218,0.914571763
219,0.914571763
220,0.90216416
221,0.949702013
222,0.914571763
223,0.148290221
224,0.90216416
225,0.952333907
226,0.949702013
227,0.914571763
228,0.148290221
229,0.148290221
230,0.234931649
232,0.148290221
233,0.919463484
234,0.914571763
235,0.245240767
236,0.949702013
237,0.148290221
238,0.949702013
239,0.914571763
240,0.148290221
241,0.90216416
242,0.234931649
243,0.914571763
244,0.919463484
245,0.914571763
246,0.130408896
247,0.148290221
248,0.949702013
249,0.148290221
250,0.914571763
251,0.914571763
253,0.148290221
254,0.914571763
255,0.148290221
256,0.914571763
257,0.914571763
258,0.245240767
259,0.914571763
260,0.914571763
261,0.914571763
262,0.914571763
263,0.148290221
264,0.914571763
265,0.952333907
266,0.914571763
267,0.949702013
268,0.949702013
269,0.914571763
270,0.234931649
271,0.949702013
273,0.914571763
274,0.919463484
275,0.95233387
276,0.952333907
277,0.148290221
278,0.148290221
279,0.148290221
280,0.914571763
281,0.914571763
282,0.952333907
283,0.914571763
284,0.949702013
285,0.952333907
286,0.148290221
287,0.914571763
288,0.949702013
289,0.914571763
290,0.130408896
291,0.914571763
292,0.914571763
293,0.919461187
294,0.914571763
296,0.245240767
297,0.949702013
299,0.914571763
300,0.914571763
301,0.914571763
302,0.914571763
303,0.914571763
304,0.949702013
305,0.914571763
306,0.914571763
307,0.914571763
308,0.90216416
309,0.234931649
310,0.234931649
311,0.914571763
312,0.914571763
314,0.148290221
315,0.90216416
316,0.914571763
317,0.234931649
318,0.234931649
319,0.156596357
320,0.914571763
321,0.846924451
322,0.148290221
323,0.148290221
324,0.949702013
325,0.914571763
326,0.914563937
327,0.949702013
328,0.148290221
329,0.90216416
330,0.914571763
331,0.90215532
332,0.914571763
333,0.245240767
334,0.234931649
335,0.952333907
336,0.914571763
337,0.846924451
338,0.914571763
339,0.914571763
340,0.245240767
341,0.846924451
342,0.914571763
343,0.914571763
344,0.914563937
345,0.949702013
346,0.914571763
347,0.148290221
348,0.234931649
349,0.914571763
350,0.846924451
351,0.914571763
352,0.949702013
353,0.914571763
354,0.148290221
356,0.148290221
357,0.914571763
358,0.914571763
360,0.90216416
361,0.130408896
362,0.914571763
363,0.245240767
364,0.914571763
365,0.148290221
366,0.914571763
367,0.914571763
368,0.148290221
369,0.245240767
370,0.914571763
371,0.914571763
373,0.914571763
374,0.90216416
375,0.245240767
376,0.914571763
377,0.949702013
378,0.234931649
380,0.914571763
381,0.914563937
382,0.914571763
383,0.846911465
384,0.148290221
385,0.914563937
386,0.914571763
387,0.234931649
388,0.234931649
389,0.234931649
390,0.234931649
391,0.234931649
392,0.914571763
393,0.90216416
394,0.846924451
395,0.148290221
396,0.914571763
397,0.952333898
398,0.245240767
399,0.148290221
400,0.148290221
401,0.949702013
402,0.952333907
403,0.949702013
404,0.148290221
405,0.952333907
406,0.914571763
407,0.914571763
408,0.914571763
409,0.919463484
410,0.148290221
411,0.949702013
412,0.949702013
413,0.952333907
414,0.949702013
415,0.245240767
416,0.914571763
417,0.914571763
418,0.234931649
419,0.914571763
420,0.914571763
421,0.914571763
422,0.148290221
423,0.245240767
424,0.130408896
425,0.914571763
426,0.914571763
427,0.846924451
428,0.949702013
429,0.914571763
430,0.914571763
431,0.914571763
432,0.949702013
433,0.914571763
434,0.919463484
435,0.914571763
436,0.234931649
437,0.148290221
438,0.952333907
439,0.919463484
441,0.952333907
442,0.90216416
443,0.952333907
444,0.914571763
445,0.846924451
446,0.148290221
447,0.952333907
448,0.234931649
449,0.914571763
450,0.148290221
451,0.234931649
452,0.952333907
453,0.919463484
454,0.952333907
455,0.914571763
456,0.148290221
457,0.914571763
458,0.914571763
459,0.156596357
460,0.148290221
461,0.148290221
462,0.949702013
463,0.130408896
464,0.949702013
465,0.952333907
466,0.148290221
467,0.952333907
468,0.234931649
469,0.914571763
470,0.148290221
471,0.914571763
472,0.90216416
473,0.234931649
474,0.245240767
475,0.914571763
476,0.914571763
477,0.919463484
478,0.245240767
479,0.914571763
480,0.90216416
481,0.949702013
482,0.919463484
483,0.914563937
484,0.90216416
485,0.148290221
486,0.914571763
487,0.90216416
488,0.949697228
489,0.952333907
490,0.914571763
491,0.234931649
492,0.914571763
493,0.245240767
495,0.846911465
496,0.952333907
497,0.914571763
498,0.914571763
499,0.914563937
501,0.914563937
502,0.949702013
503,0.130408896
504,0.952333907
505,0.082551518
506,0.914571763
507,0.846924451
508,0.148290221
509,0.914571763
510,0.914571763
511,0.914571763
512,0.148290221
513,0.148290221
514,0.914563937
515,0.148290221
516,0.90216416
517,0.148290221
518,0.914571763
519,0.949702013
520,0.914571763
521,0.914571763
523,0.90216416
524,0.914571763
525,0.234931649
526,0.90216416
527,0.949702013
528,0.245240767
529,0.245240767
530,0.148290221
531,0.234931649
532,0.914571763
533,0.148290221
534,0.919463484
535,0.914571763
536,0.949702013
537,0.949702013
538,0.914571763
539,0.245240767
540,0.914571763
541,0.90216416
542,0.234931649
543,0.148290221
544,0.234931649
545,0.914571763
546,0.914571763
547,0.949697228
548,0.245240767
549,0.914571763
550,0.949702013
551,0.148290221
552,0.914571763
553,0.914571763
554,0.234931649
557,0.234931649
558,0.949702013
560,0.846911465
561,0.914571763
562,0.952333907
563,0.148290221
564,0.949702013
565,0.914571763
566,0.245240767
567,0.148290221
568,0.914571763
569,0.914571763
570,0.846924451
571,0.245240767
572,0.914571763
573,0.914571763
574,0.914571763
575,0.914571763
576,0.952333907
577,0.952333907
578,0.245240767
579,0.148290221
580,0.914571763
581,0.148290221
582,0.914571763
583,0.914571763
585,0.914571763
586,0.90216416
587,0.914571763
588,0.90216416
589,0.148290221
590,0.914571763
591,0.245240767
592,0.914571763
593,0.949702013
594,0.148290221
595,0.914571763
596,0.914571763
597,0.234931649
598,0.914571763
599,0.914571763
600,0.234931649
601,0.914571763
602,0.914571763
603,0.949697228
604,0.914571763
605,0.156596357
606,0.914571763
607,0.082551518
608,0.234931649
609,0.148290221
610,0.148290221
611,0.952333907
612,0.148290221
613,0.914571763
614,0.914571763
615,0.914571763
616,0.914571763
617,0.90216416
618,0.156596357
619,0.914571763
620,0.914571763
621,0.949702013
622,0.156596357
623,0.914571763
624,0.914571763
625,0.148290221
626,0.952333907
627,0.914571763
628,0.914571763
629,0.914571763
630,0.914571763
631,0.914571763
632,0.914571763
633,0.90216416
635,0.914571763
636,0.952333907
637,0.914571763
638,0.919463484
639,0.90216416
640,0.914571763
641,0.914571763
642,0.914571763
643,0.148290221
644,0.148290221
645,0.914571763
646,0.846924448
647,0.914571763
648,0.234931649
649,0.245240767
650,0.919463484
651,0.148290221
652,0.949702013
653,0.914563937
654,0.245240767
655,0.914571763
656,0.914571763
657,0.148290221
658,0.914571763
659,0.148290221
660,0.914571763
661,0.914571763
662,0.914571763
663,0.90216416
664,0.914571763
665,0.914571763
666,0.148290221
667,0.914571763
668,0.949702013
669,0.148290221
670,0.148290221
671,0.148290221
672,0.914571763
673,0.914571763
